genre,release_year,playtime_forever
Action,2013,5417057600
Adventure,2011,3525706779
Animation &amp; Modeling,2015,11974521
Audio Production,2014,6671903
Casual,2015,2686534939
Design &amp; Illustration,2015,12906521
Early Access,2013,3556873110
Education,2013,7309287
Free to Play,2015,3067034050
Indie,2013,4086085319
Massively Multiplayer,2013,3787660758
Photo Editing,2016,620916
RPG,2011,3747198196
Racing,2015,603191553
Simulation,2015,2261195172
Software Training,2014,6864604
Sports,2015,643440125
Strategy,2015,2149636957
Utilities,2013,10244082
Video Production,2015,11440105
Web Publishing,2012,7789624
