genre,,user_id,genre,playtime_forever,posted,id
Action,1111419,shinomegami,Action,14047075,2012,550.0
Action,1111420,shinomegami,Action,14047075,2014,6910.0
Action,1111421,shinomegami,Action,14047075,2015,8500.0
Adventure,15962,420blazeitbitches,Adventure,519300,1,
Casual,15963,420blazeitbitches,Casual,565731,1,
Free to Play,1111496,shinomegami,Free to Play,13297628,2015,8500.0
Free to Play,1111521,shinomegami,Free to Play,13297628,2015,417860.0
Indie,889324,clawbot44,Indie,2898032,1,
Massively Multiplayer,1111571,shinomegami,Massively Multiplayer,13289456,2015,8500.0
RPG,1111596,shinomegami,RPG,13316514,2015,8500.0
Racing,578354,DownSyndromeKid,Racing,369467,1,
Simulation,889345,clawbot44,Simulation,2892568,2014,284160.0
Sports,1111647,shinomegami,Sports,560944,1,
Strategy,1111648,shinomegami,Strategy,13424503,2015,8500.0
