,posted,id,sentiment,app_name
0,2014,221100.0,112,DayZ
1,2014,730.0,91,Counter-Strike: Global Offensive
2,2014,570.0,70,Dota 2
3,2015,218620.0,265,PAYDAY 2
4,2015,730.0,228,Counter-Strike: Global Offensive
5,2015,221100.0,133,DayZ
6,2013,209160.0,26,Call of Duty®: Ghosts
7,2013,440.0,21,Team Fortress 2
8,2013,224540.0,19,Ace of Spades: Battle Builder
9,2012,209870.0,2,Blacklight: Retribution
10,2012,440.0,2,Team Fortress 2
11,2012,570.0,2,Dota 2
12,2011,18700.0,4,And Yet It Moves
13,2011,440.0,3,Team Fortress 2
14,2011,33460.0,2,From Dust
15,2010,440.0,2,Team Fortress 2
