,release_year,sentiment_0,sentiment_1,sentiment_2
0,1989,0,0,1
1,1990,1,0,4
2,1991,0,0,1
3,1992,0,0,3
4,1993,3,0,2
5,1994,4,2,9
6,1995,4,2,10
7,1996,3,0,5
8,1997,8,10,30
9,1998,22,17,57
10,1999,15,23,38
11,2000,18,32,49
12,2001,9,3,23
13,2002,10,5,30
14,2003,56,54,107
15,2004,97,134,319
16,2005,49,61,184
17,2006,425,448,1191
18,2007,618,1089,2468
19,2008,75,100,285
20,2009,413,470,1091
21,2010,407,402,1199
22,2011,659,736,2052
23,2012,1946,2068,5041
24,2013,1653,1539,4394
25,2014,1536,1278,3605
26,2015,1525,1396,3639
27,2016,689,544,1755
28,2017,455,493,1156
