,user_id,item_id,sentiment,app_name
0,76561197970982479,1250.0,2,Killing Floor
200,76561197970982479,22200.0,2,Zeno Clash
306,js41637,227300.0,0,Euro Truck Simulator 2
546,js41637,239030.0,0,"Papers, Please"
786,evcentric,370360.0,2,TIS-100
866,evcentric,237930.0,2,Transistor
1166,evcentric,263360.0,0,3089 -- Futuristic Action RPG
1292,evcentric,107200.0,2,Space Pirates and Zombies
1652,evcentric,224500.0,2,Gnomoria
1832,doctr,250320.0,2,The Wolf Among Us
1892,doctr,20920.0,2,The Witcher 2: Assassins of Kings Enhanced Edition
2012,doctr,204100.0,2,Max Payne 3
2092,doctr,224600.0,2,Defiance
2492,doctr,207610.0,0,The Walking Dead
2572,doctr,108710.0,2,Alan Wake
2772,maplemage,211420.0,1,DARK SOULS™: Prepare To Die™ Edition
2932,maplemage,211820.0,2,Starbound
3832,maplemage,730.0,2,Counter-Strike: Global Offensive
3992,maplemage,204300.0,2,Awesomenauts - the 2D moba
4952,Wackky,249130.0,0,LEGO® Marvel™ Super Heroes
5152,Wackky,207610.0,0,The Walking Dead
5232,Wackky,550.0,1,Left 4 Dead 2
5492,Wackky,65800.0,0,Dungeon Defenders
6292,Wackky,220.0,2,Half-Life 2
6433,76561198089393905,440.0,1,Team Fortress 2
6913,76561198077246154,304930.0,1,Unturned
8013,WeiEDKrSat,4000.0,1,Garry's Mod
8453,thequeenpanda,42910.0,1,Magicka
8773,death-hunter,232090.0,2,Killing Floor 2
9013,death-hunter,1250.0,2,Killing Floor
9213,death-hunter,4000.0,2,Garry's Mod
9653,DJKamBer,304930.0,0,Unturned
10755,DJKamBer,224260.0,2,No More Room in Hell
11295,DJKamBer,1250.0,2,Killing Floor
11495,DJKamBer,440.0,1,Team Fortress 2
11975,Rainbow-Dashie,730.0,2,Counter-Strike: Global Offensive
12135,Rainbow-Dashie,440.0,2,Team Fortress 2
12615,Rainbow-Dashie,49520.0,0,Borderlands 2
12856,MarbleShrine,220200.0,2,Kerbal Space Program
12936,PPanther,211820.0,2,Starbound
13836,devvonst,440.0,2,Team Fortress 2
14316,devvonst,218740.0,1,Pid
14428,devvonst,550.0,2,Left 4 Dead 2
14688,starkillershadow553,238090.0,2,Sniper Elite 3
15008,starkillershadow553,277430.0,2,Halo: Spartan Assault
15128,76561198058373434,8870.0,1,BioShock Infinite
15228,76561198048353577,368230.0,0,Kingdom: Classic
15528,76561198048353577,33930.0,2,Arma 2: Operation Arrowhead
15889,76561198066046412,219640.0,2,Chivalry: Medieval Warfare
16169,tru_mu_,287980.0,2,Mini Metro
16409,76561198070565427,208090.0,1,Loadout
16829,76561198070565427,242700.0,1,Injustice: Gods Among Us Ultimate Edition
16970,76561198070565427,224260.0,1,No More Room in Hell
17510,SavageEeEe,221100.0,2,DayZ
17751,KanadeTheNeko,331470.0,2,Everlasting Summer
18071,KanadeTheNeko,4000.0,2,Garry's Mod
18511,GoAwayZach,304930.0,2,Unturned
19613,76561198054540475,48700.0,2,Mount & Blade: Warband
19813,76561198061252210,730.0,2,Counter-Strike: Global Offensive
19973,OfficialShroomsy,113200.0,0,The Binding of Isaac
20213,boydeer,440.0,1,Team Fortress 2
20694,VVillis,213670.0,1,South Park™: The Stick of Truth™
20874,76561198083226897,105600.0,0,Terraria
21594,76561198075277292,730.0,1,Counter-Strike: Global Offensive
21756,76561198028895010,620.0,2,Portal 2
22196,diego9031,223710.0,1,Cry of Fear
22436,diego9031,299360.0,1,Block N Load
23076,diego9031,322330.0,2,Don't Starve Together
23496,diego9031,1250.0,1,Killing Floor
23696,diego9031,12100.0,1,Grand Theft Auto III
23736,diego9031,204360.0,2,Castle Crashers®
25136,diego9031,440.0,0,Team Fortress 2
25616,diego9031,224260.0,2,No More Room in Hell
26156,jarrodtrim,440.0,2,Team Fortress 2
26636,76561198067936203,440.0,2,Team Fortress 2
27117,76561198087586464,440.0,2,Team Fortress 2
27597,Derp-e,440.0,2,Team Fortress 2
28078,76561198070194565,248570.0,1,Toribash
28558,Rivtex,298630.0,1,The Escapists
29159,UTNerd24,440.0,0,Team Fortress 2
29639,UTNerd24,376920.0,2,Tiki Man
29669,UTNerd24,257750.0,1,Bloody Trapland
30789,UTNerd24,221910.0,0,The Stanley Parable
30989,UTNerd24,2280.0,2,Ultimate Doom
31029,sandwiches1,417860.0,1,Emily is Away
31331,lucaswerg,222880.0,1,Insurgency
31871,Life-Of-Blu,377160.0,2,Fallout 4
31951,Life-Of-Blu,211820.0,2,Starbound
32851,CaptianAutismo,252490.0,2,Rust
33571,76561198075895633,440.0,2,Team Fortress 2
34051,kube134,251990.0,2,Long Live The Queen
34371,iamthekingofbrowntown,344760.0,0,Reign Of Kings
34471,iamthekingofbrowntown,252950.0,1,Rocket League®
35351,iamthekingofbrowntown,399730.0,2,Rocket League® - Revenge of the Battle-Cars DLC Pack
35527,yookobz,377160.0,2,Fallout 4
35607,yookobz,219150.0,2,Hotline Miami
35767,Posiblydead,277430.0,2,Halo: Spartan Assault
35887,Posiblydead,239820.0,2,Game Dev Tycoon
36287,Posiblydead,17410.0,2,Mirror's Edge™
36407,Mossy_Gaming,440.0,2,Team Fortress 2
36887,76561198102421718,270550.0,2,Yet Another Zombie Defense
37607,76561198102421718,274940.0,2,Depth
38168,76561198087407319,440.0,0,Team Fortress 2
38648,76561198056741844,730.0,1,Counter-Strike: Global Offensive
38808,sad-commie,212070.0,2,Star Conflict
39288,sad-commie,264140.0,2,Pixel Piracy
39528,76561198030567998,332800.0,1,Five Nights at Freddy's 2
39548,76561198030567998,319630.0,2,Life is Strange - Episode 1
39748,76561198030567998,6020.0,1,STAR WARS™ Jedi Knight - Jedi Academy™
39848,76561198030567998,55230.0,2,Saints Row: The Third
39968,76561198030567998,32430.0,2,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
40010,Coldaniel,35450.0,2,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
40490,Coldaniel,440.0,2,Team Fortress 2
40972,therealmorty,212680.0,0,FTL: Faster Than Light
41092,Berserklejerker,391540.0,1,Undertale
41172,76561198061730629,550.0,2,Left 4 Dead 2
41432,YoHuNz,440.0,1,Team Fortress 2
41914,possessioniskey,440.0,0,Team Fortress 2
42394,possessioniskey,113400.0,0,APB Reloaded
42574,76561198093112529,440.0,1,Team Fortress 2
43054,76561198060447950,200510.0,2,XCOM: Enemy Unknown
43194,whiteofwolfing,730.0,2,Counter-Strike: Global Offensive
43355,76561198081962345,1250.0,1,Killing Floor
43555,Nozomikat,265610.0,0,Epic Battle Fantasy 4
43715,Nozomikat,264200.0,1,One Finger Death Punch
43943,Nozomikat,417860.0,0,Emily is Away
44244,Nozomikat,213670.0,2,South Park™: The Stick of Truth™
44425,Nozomikat,210770.0,0,Sanctum 2
44905,xfluttersx,351640.0,2,Eternal Senia
44985,xfluttersx,105600.0,2,Terraria
45705,xfluttersx,440.0,2,Team Fortress 2
46185,xfluttersx,47870.0,2,Need For Speed: Hot Pursuit
46223,76561198056290589,730.0,2,Counter-Strike: Global Offensive
46383,ii_voltage_ii,253710.0,0,theHunter Classic
46783,ii_voltage_ii,339280.0,2,Strife®
47265,76561198097762318,440.0,1,Team Fortress 2
47745,76561198097762318,233150.0,0,LUFTRAUSERS
48051,Hirukaz,550.0,0,Left 4 Dead 2
48311,StelerForYou,730.0,2,Counter-Strike: Global Offensive
48471,StelerForYou,211820.0,2,Starbound
49371,76561198183396245,440.0,2,Team Fortress 2
49851,Xx-Woods,224260.0,2,No More Room in Hell
50391,Xx-Woods,317360.0,2,Double Action: Boogaloo
50631,Xx-Woods,295550.0,2,Royal Quest
50739,Xx-Woods,250180.0,1,METAL SLUG 3
50899,Xx-Woods,227940.0,1,Heroes & Generals
51219,Xx-Woods,17520.0,2,Synergy
51557,Xx-Woods,113420.0,2,Fallen Earth Free2Play
51797,kevinator23,320760.0,0,Tokyo School Life
51827,kevinator23,8850.0,2,BioShock® 2
51907,kevinator23,233720.0,0,Surgeon Simulator
52148,kevinator23,730.0,2,Counter-Strike: Global Offensive
52309,kevinator23,220240.0,2,Far Cry 3
52469,kevinator23,440.0,2,Team Fortress 2
52949,76561198090715178,4000.0,2,Garry's Mod
53389,76561198090715178,304930.0,2,Unturned
54489,CatsWhale,333950.0,0,Medieval Engineers
55190,CatsWhale,107410.0,0,Arma 3
56030,CatsWhale,206210.0,1,Gotham City Impostors Free to Play
56270,76561198073784601,221100.0,2,DayZ
56510,mimimomoma,730.0,0,Counter-Strike: Global Offensive
56670,76561198102410011,440.0,1,Team Fortress 2
57150,de_Butl3r,209870.0,0,Blacklight: Retribution
57310,Bluezap1,440.0,2,Team Fortress 2
57790,Bluezap1,730.0,2,Counter-Strike: Global Offensive
57950,Bluezap1,362890.0,2,Black Mesa
58911,76561198074200011,730.0,2,Counter-Strike: Global Offensive
59072,Lord_Exploit,311560.0,2,Assassin’s Creed® Rogue
59152,Lord_Exploit,322170.0,2,Geometry Dash
59353,AVATAR715,440.0,2,Team Fortress 2
59833,AVATAR715,248570.0,0,Toribash
60313,AVATAR715,264140.0,0,Pixel Piracy
60553,AVATAR715,4000.0,0,Garry's Mod
60993,AVATAR715,266430.0,2,Anarchy Arcade
61633,AVATAR715,316010.0,2,Magic Duels
61841,AVATAR715,249570.0,0,The Castle Doctrine
61961,76561198078752187,240.0,0,Counter-Strike: Source
62101,A-Very-Sly-Person,304930.0,1,Unturned
63201,A-Very-Sly-Person,440.0,1,Team Fortress 2
63681,76561197994493402,264200.0,2,One Finger Death Punch
63909,76561197994493402,440.0,2,Team Fortress 2
64390,97396295,301520.0,2,Robocraft
65111,97396295,218230.0,2,PlanetSide 2
65292,76561198126640317,221100.0,2,DayZ
65532,76561198126640317,316010.0,2,Magic Duels
65740,76561198126640317,218230.0,2,PlanetSide 2
65921,76561198126640317,222880.0,0,Insurgency
66461,76561198126640317,730.0,2,Counter-Strike: Global Offensive
66621,DemonicWolvz,55230.0,2,Saints Row: The Third
66741,DemonicWolvz,232090.0,2,Killing Floor 2
66981,DemonicWolvz,4000.0,0,Garry's Mod
67421,DemonicWolvz,206420.0,2,Saints Row IV
67701,DemonicWolvz,224260.0,0,No More Room in Hell
68241,DemonicWolvz,550.0,2,Left 4 Dead 2
68501,DieMadchenschanderin,346110.0,2,ARK: Survival Evolved
69504,getf0kinn0sc0pedm9,730.0,0,Counter-Strike: Global Offensive
69664,76561198141443390,730.0,2,Counter-Strike: Global Offensive
69824,whodafuqisthisguilao,730.0,2,Counter-Strike: Global Offensive
69984,Magjiikal,370480.0,2,Pixel Galaxy
70106,ohnospaghet,440.0,2,Team Fortress 2
70586,ohnospaghet,266210.0,2,One Way Heroics
70786,ohnospaghet,264200.0,2,One Finger Death Punch
71014,2768820078,287700.0,1,METAL GEAR SOLID V: THE PHANTOM PAIN
71334,2768820078,377160.0,1,Fallout 4
71414,2768820078,221380.0,1,Age of Empires II HD
71614,2768820078,333950.0,1,Medieval Engineers
72314,2768820078,222420.0,1,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION
72362,2768820078,271590.0,1,Grand Theft Auto V
72522,2768820078,298110.0,1,Far Cry® 4
72682,2768820078,222440.0,1,THE KING OF FIGHTERS 2002 UNLIMITED MATCH
72718,2d4nk4m3,317470.0,0,Cubic Castles
72838,2d4nk4m3,47410.0,2,Stronghold Kingdoms
73078,76561198095921854,245620.0,2,Tropico 5
73618,EizanAratoFujimaki,70.0,0,Half-Life
73678,TeCool,274980.0,2,Influent
73787,TeCool,339280.0,2,Strife®
74269,2xDelorean,212680.0,2,FTL: Faster Than Light
74389,2xDelorean,200210.0,2,Realm of the Mad God
74989,2xDelorean,440.0,2,Team Fortress 2
75469,washington_,417860.0,1,Emily is Away
75770,76561198088944293,304930.0,1,Unturned
76870,76561198092540221,400.0,2,Portal
77010,76561198092540221,620.0,2,Portal 2
77450,76561198092540221,238460.0,2,BattleBlock Theater®
78730,76561198092540221,6060.0,2,"Star Wars: Battlefront 2 (Classic, 2005)"
78790,76561198092540221,440.0,2,Team Fortress 2
79270,76561198051258119,730.0,2,Counter-Strike: Global Offensive
79430,nubquake123,265610.0,2,Epic Battle Fantasy 4
79590,Pyromanic,31280.0,2,Poker Night at the Inventory
79658,Pyromanic,4000.0,2,Garry's Mod
80098,Pyromanic,240.0,2,Counter-Strike: Source
80238,CobRazor,252490.0,0,Rust
80958,relesprit,8930.0,2,Sid Meier's Civilization® V
81058,WitchHunter4542,304930.0,2,Unturned
82158,WitchHunter4542,237310.0,0,Elsword
82638,WitchHunter4542,224260.0,2,No More Room in Hell
83178,pwrt,230410.0,2,Warframe
83418,pwrt,440.0,2,Team Fortress 2
83898,wantmahbody,440.0,2,Team Fortress 2
84379,76561198031207016,8930.0,2,Sid Meier's Civilization® V
84479,76561198043458582,105600.0,0,Terraria
85199,76561198043458582,221100.0,2,DayZ
85439,76561198043458582,107410.0,2,Arma 3
86279,76561198043458582,231430.0,1,Company of Heroes 2
86442,76561198047630659,230410.0,2,Warframe
86682,1337lolroflmao,271590.0,1,Grand Theft Auto V
86844,1337lolroflmao,7940.0,2,Call of Duty® 4: Modern Warfare®
86884,1337lolroflmao,234190.0,0,Receiver
86944,1337lolroflmao,10180.0,2,Call of Duty®: Modern Warfare® 2
87064,1337lolroflmao,33900.0,2,Arma 2
87424,1337lolroflmao,261030.0,2,The Walking Dead: Season 2
87484,1337lolroflmao,243470.0,0,Watch_Dogs™
87644,sithjjf,302830.0,0,BLOCKADE 3D
87765,OzfurAtlas,212680.0,0,FTL: Faster Than Light
87885,76561198065593074,304930.0,0,Unturned
88985,76561198065593074,304050.0,2,Trove
89825,76561198065593074,203750.0,0,Binary Domain
89951,76561198044169764,227940.0,1,Heroes & Generals
90271,76561198044169764,355180.0,2,Codename CURE
90591,76561198044169764,4000.0,1,Garry's Mod
91032,76561197961778802,730.0,2,Counter-Strike: Global Offensive
91192,thisissohardtomakeoneup,440.0,1,Team Fortress 2
91672,76561198087010391,4000.0,2,Garry's Mod
92112,66666669999999,302830.0,1,BLOCKADE 3D
92232,76561198061174192,220200.0,2,Kerbal Space Program
92312,76561198061174192,242760.0,2,The Forest
92712,ReMiXOfficalSteam,352460.0,2,Dead Realm
93112,Wilfire77,322920.0,2,theHunter: Primal
93472,76561198084390807,234792.0,1,Call of Duty®: Black Ops II - Aqua Personalization Pack
93482,76561198084390807,252490.0,2,Rust
94202,Mastic,304050.0,0,Trove
95042,Mastic,550.0,2,Left 4 Dead 2
95302,Mastic,206420.0,2,Saints Row IV
95582,76561198028286104,10180.0,2,Call of Duty®: Modern Warfare® 2
95702,tarjla,304930.0,2,Unturned
96802,tarjla,265750.0,0,Secret Ponchos
96934,tarjla,252490.0,2,Rust
97654,tarjla,4000.0,2,Garry's Mod
98094,tarjla,211820.0,0,Starbound
98994,tarjla,105600.0,2,Terraria
99714,tarjla,730.0,2,Counter-Strike: Global Offensive
99874,deathnz1,276340.0,2,My Riding Stables: Life with Horses
99898,76561198104393251,304930.0,1,Unturned
100998,redsncrimson,274920.0,2,FaceRig
101088,redsncrimson,211820.0,2,Starbound
101988,redsncrimson,49520.0,2,Borderlands 2
102228,redsncrimson,223510.0,0,Miasmata
102300,redsncrimson,440.0,2,Team Fortress 2
102780,H1DD3NT3RR0R,240.0,2,Counter-Strike: Source
102920,H1DD3NT3RR0R,105600.0,0,Terraria
103640,H1DD3NT3RR0R,204300.0,2,Awesomenauts - the 2D moba
104600,H1DD3NT3RR0R,730.0,0,Counter-Strike: Global Offensive
104760,H1DD3NT3RR0R,440.0,0,Team Fortress 2
105241,76561198071214618,268750.0,2,Magicite
105403,76561198071175142,271590.0,2,Grand Theft Auto V
105563,t8s,360870.0,0,Ultimate Tic-Tac-Toe
105745,t8s,730.0,2,Counter-Strike: Global Offensive
105905,pikawuu2,12900.0,2,AudioSurf
105985,Sammeh00,301520.0,2,Robocraft
106705,Michaelele,6060.0,0,"Star Wars: Battlefront 2 (Classic, 2005)"
106765,Michaelele,730.0,2,Counter-Strike: Global Offensive
106925,Michaelele,107410.0,0,Arma 3
107765,Michaelele,304930.0,2,Unturned
108865,76561198045754869,335670.0,0,LISA
109165,76561198076098774,215080.0,2,WAKFU
109566,76561198048417105,271590.0,2,Grand Theft Auto V
109726,76561198048417105,730.0,2,Counter-Strike: Global Offensive
109886,76561198090842891,8190.0,2,Just Cause 2
110046,76561198055767971,247730.0,0,Nether: Resurrected
110447,76561198145436942,221100.0,2,DayZ
110687,jjas01,208812.0,0,Tomb Raider: Tomb of the Lost Adventurer
110700,jjas01,243120.0,2,Betrayer
110940,jjas01,234140.0,2,Mad Max
111140,jjas01,204450.0,2,Call of Juarez® Gunslinger
111260,jjas01,225260.0,2,Brutal Legend
111620,jjas01,50300.0,2,Spec Ops: The Line
111940,jjas01,201810.0,2,Wolfenstein: The New Order
112020,3xotic26,500.0,2,Left 4 Dead
112260,3xotic26,440.0,2,Team Fortress 2
112740,3xotic26,49520.0,2,Borderlands 2
112980,3xotic26,550.0,2,Left 4 Dead 2
113240,iamthetrashlord,206420.0,1,Saints Row IV
113520,iamthetrashlord,213670.0,2,South Park™: The Stick of Truth™
113700,3dster,550.0,2,Left 4 Dead 2
113960,76561198079990063,231040.0,2,Beatbuddy: Tale of the Guardians
114324,Forty-Nine,221100.0,0,DayZ
114566,L4M1NAS,221100.0,2,DayZ
114808,76561198084542731,206420.0,1,Saints Row IV
115088,76561198084542731,47790.0,2,Medal of Honor™
115127,mrpfresh,346110.0,0,ARK: Survival Evolved
116127,GamerFag,440.0,2,Team Fortress 2
116607,GamerFag,70.0,0,Half-Life
116667,GamerFag,420.0,2,Half-Life 2: Episode Two
116827,GamerFag,380.0,2,Half-Life 2: Episode One
116987,GamerFag,220.0,2,Half-Life 2
117127,GamerFag,1250.0,2,Killing Floor
117327,EHS-R3AP3R,339230.0,2,ZOMBI
117489,EHS-R3AP3R,209160.0,2,Call of Duty®: Ghosts
117629,chidori_647,219990.0,0,Grim Dawn
118189,chidori_647,213670.0,1,South Park™: The Stick of Truth™
118369,chidori_647,21100.0,0,F.E.A.R. 3
118502,chidori_647,8190.0,0,Just Cause 2
118662,chidori_647,215470.0,0,Primal Carnage
118902,76561198092227136,730.0,2,Counter-Strike: Global Offensive
119062,76561198092227136,1250.0,1,Killing Floor
119262,hellcat59,4000.0,2,Garry's Mod
119703,tbimperator,35450.0,2,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
120183,Allahu_Akbar666,230410.0,2,Warframe
120423,Allahu_Akbar666,304930.0,0,Unturned
121523,ulramite,290020.0,0,LogicBots
121619,ulramite,248860.0,2,NEO Scavenger
121741,76561198054040292,298260.0,0,Only If
121861,76561198078799606,370240.0,0,NBA 2K16
121945,76561198078799606,730.0,2,Counter-Strike: Global Offensive
122105,76561198078799606,233450.0,2,Prison Architect
122465,I_DID_911_JUST_SAYING,221260.0,0,Little Inferno
